player_name,predictor_season,team_fg,power_skill_score,contact_skill_score,speed_skill_score,breakout_score
Christian Yelich,2022,MIL,0.6791,-0.201,0.0,0.7044
Yandy Diaz,2022,TBR,0.1549,1.6226,0.0,0.6834
Gunnar Henderson,2024,BAL,0.896,-0.0887,0.0,0.6783
Jorge Soler,2023,MIA,1.2927,-0.2351,0.0,0.6778
Spencer Torkelson,2023,DET,1.1037,-0.2466,0.0,0.649
Carlos Correa,2022,MIN,0.8269,0.2851,0.0,0.6484
Vinnie Pasquantino,2022,KCR,0.4975,1.4954,0.0,0.6475
Seiya Suzuki,2023,CHC,0.6522,0.1655,0.0,0.6446
Rafael Devers,2024,BOS,1.2806,-0.9957,0.0,0.6394
Adolis Garcia,2023,TEX,1.5294,-1.0173,0.0,0.6392
Gary Sanchez,2022,MIN,1.2523,-0.9596,0.0,0.6377
Willson Contreras,2023,STL,1.0352,-0.1679,0.0,0.636
Byron Buxton,2023,MIN,1.4421,-1.1726,0.0,0.6355
Kyle Schwarber,2023,PHI,1.6039,-1.1787,0.0,0.6327
Francisco Lindor,2024,NYM,1.0471,0.2586,0.0,0.6234
Christian Walker,2024,ARI,1.158,-0.3405,0.0,0.6215
Anthony Santander,2024,BAL,0.88,0.493,0.0,0.6183
Jake Bauers,2023,NYY,1.4693,-1.6573,0.0,0.6175
Jose Abreu,2022,CHW,0.6744,0.6475,0.0,0.6158
Teoscar Hernandez,2022,TOR,1.5087,-1.3486,0.0,0.6128
Freddie Freeman,2022,LAD,0.5773,0.9446,0.0,0.6117
Gary Sanchez,2023,- - -,1.2414,-0.3334,0.0,0.5954
Cal Raleigh,2024,SEA,1.4401,-0.9752,0.0,0.5857
Randal Grichuk,2024,ARI,0.6968,0.9043,0.0,0.5837
Byron Buxton,2022,MIN,1.7463,-1.493,0.0,0.5771
Matt Olson,2024,ATL,1.0223,-0.568,0.0,0.5752
Ketel Marte,2023,ARI,0.4609,0.7619,0.0,0.5726
Mookie Betts,2023,LAD,0.7431,1.1851,0.0,0.5723
Joc Pederson,2024,ARI,1.0548,-0.1835,0.0,0.5719
Jorge Soler,2022,MIA,1.2397,-1.2644,0.0,0.566
Gunnar Henderson,2023,BAL,0.8037,-0.4956,0.0,0.5653
Riley Greene,2024,DET,1.0623,-0.7056,0.0,0.5614
Bryce Harper,2022,PHI,1.1534,-0.1967,0.0,0.5595
Pete Alonso,2023,NYM,1.1112,-0.0956,0.0,0.5593
Matt Chapman,2022,TOR,1.1915,-1.0558,0.0,0.5588
Rafael Devers,2022,BOS,1.0747,-0.1602,0.0,0.5554
Luis Robert Jr.,2022,CHW,0.6573,0.2685,0.0,0.5529
Vinnie Pasquantino,2024,KCR,0.1921,1.6293,0.0,0.5528
Bo Bichette,2022,TOR,0.5984,0.155,0.0,0.5525
Elly De La Cruz,2023,CIN,0.6078,-1.0863,0.0,0.5447
J.D. Davis,2022,- - -,1.5666,-2.4122,0.0,0.5359
Max Kepler,2023,MIN,0.7592,0.3719,0.0,0.5338
C.J. Cron,2022,COL,0.7156,-0.3252,0.0,0.5315
Lars Nootbaar,2022,STL,0.9562,-0.0479,0.0,0.5301
Brent Rooker,2024,OAK,1.5849,-1.0842,0.0,0.5255
Willson Contreras,2022,CHC,0.875,-0.4102,0.0,0.5226
Tommy Pham,2023,- - -,0.651,0.0486,0.0,0.517
Bobby Witt Jr.,2023,KCR,0.7053,0.5335,0.0,0.5142
Ryan Jeffers,2023,MIN,0.9205,-0.6342,0.0,0.5135
J.D. Martinez,2023,LAD,1.5383,-1.2623,0.0,0.5135
Wilyer Abreu,2024,BOS,0.9285,-0.9454,0.0,0.5124
Taylor Ward,2022,LAA,0.8293,0.106,0.0,0.5119
Bryce Harper,2023,PHI,1.288,-0.3401,0.0,0.5093
Carlos Correa,2024,MIN,0.4417,0.7007,0.0,0.5087
Michael Conforto,2024,SFG,0.7992,-0.3049,0.0,0.5065
Michael Harris II,2024,ATL,0.6029,0.0236,0.0,0.5021
Tyler O'Neill,2024,BOS,1.5831,-1.8482,0.0,0.4971
Jake Burger,2024,MIA,1.0844,-0.5764,0.0,0.4926
Michael Harris II,2023,ATL,0.4826,0.4271,0.0,0.4914
Jack Suwinski,2023,PIT,1.3143,-1.3031,0.0,0.4787
Manny Machado,2023,SDP,0.6667,0.3673,0.0,0.4732
Bo Bichette,2023,TOR,0.2768,0.7472,0.0,0.4676
Anthony Santander,2022,BAL,0.744,0.5221,0.0,0.461
Jorge Soler,2024,- - -,1.0554,-0.4561,0.0,0.4581
Cal Raleigh,2022,SEA,1.4711,-1.3232,0.0,0.4485
William Contreras,2022,ATL,1.1387,-1.3699,0.0,0.4422
Mitch Garver,2023,TEX,0.7372,-0.0539,0.0,0.4412
Ryan Mountcastle,2023,BAL,0.8292,-0.0347,0.0,0.4385
Randy Arozarena,2023,TBR,0.9074,-0.6148,0.0,0.4352
Andrew Vaughn,2022,CHW,0.2855,0.7174,0.0,0.4343
Paul Goldschmidt,2022,STL,0.7768,-0.2925,0.0,0.4328
Jesus Sanchez,2023,MIA,0.7226,-0.6099,0.0,0.4313
Adolis Garcia,2024,TEX,1.1229,-1.2573,0.0,0.4308
Jo Adell,2024,LAA,0.9296,-0.9387,0.0,0.4297
Bryce Harper,2024,PHI,0.7068,0.0459,0.0,0.4296
Nathaniel Lowe,2022,TEX,0.4927,-0.0574,0.0,0.4286
Triston Casas,2023,BOS,0.888,-0.5968,0.0,0.4277
Jackson Merrill,2024,SDP,0.5851,0.616,0.0,0.424
Manny Machado,2022,SDP,0.6568,0.0092,0.0,0.424
Brandon Drury,2022,- - -,0.4641,0.2486,0.0,0.4228
Marcell Ozuna,2022,ATL,0.983,-0.4577,0.0,0.4219
Ian Happ,2024,CHC,0.8596,-0.7357,0.0,0.4202
Nolan Jones,2023,COL,1.186,-1.3828,0.0,0.4199
Ryan Mountcastle,2022,BAL,1.2233,-0.783,0.0,0.4192
Teoscar Hernandez,2024,LAD,1.2297,-1.3952,0.0,0.417
Riley Greene,2023,DET,0.6677,-0.7221,0.0,0.4165
Brandon Nimmo,2023,NYM,0.4083,0.2848,0.0,0.4129
Ryan McMahon,2022,COL,0.7512,-0.77,0.0,0.4129
Michael Toglia,2024,COL,1.5609,-1.6469,0.0,0.4098
Heliot Ramos,2024,SFG,1.0886,-0.6352,0.0,0.4083
Ke'Bryan Hayes,2023,PIT,0.2644,0.7452,0.0,0.4073
Lawrence Butler,2024,OAK,0.7211,-0.417,0.0,0.406
Carlos Correa,2023,MIN,0.4143,0.0812,0.0,0.4027
Josh Naylor,2022,CLE,0.2723,0.8155,0.0,0.4023
Jose Ramirez,2022,CLE,0.0448,1.5322,0.0,0.4007
Paul Goldschmidt,2023,STL,0.6581,-0.4242,0.0,0.4006
Sean Murphy,2022,OAK,0.5445,0.0773,0.0,0.3999
Christian Yelich,2024,MIL,0.243,0.5079,0.0,0.399
Christian Walker,2022,ARI,0.7368,0.1658,0.0,0.399
Alejandro Kirk,2024,TOR,-0.0585,1.4503,0.0,0.3984
Colton Cowser,2024,BAL,1.038,-1.2513,0.0,0.3957
Christian Yelich,2023,MIL,0.3766,-0.0812,0.0,0.3949
Anthony Santander,2023,BAL,0.5332,0.0901,0.0,0.3939
Anthony Rizzo,2022,NYY,0.6739,0.4097,0.0,0.3918
Ketel Marte,2022,ARI,0.1899,0.4673,0.0,0.3913
Jarren Duran,2024,BOS,0.4864,0.1231,0.0,0.3851
Shea Langeliers,2024,OAK,1.0147,-0.7469,0.0,0.3835
Garrett Cooper,2022,MIA,0.4969,-0.2275,0.0,0.3799
Christopher Morel,2023,CHC,1.357,-1.6267,0.0,0.3752
Salvador Perez,2024,KCR,0.9088,0.157,0.0,0.3691
Julio Rodriguez,2024,SEA,0.7529,-0.7092,0.0,0.3591
Kyle Tucker,2023,HOU,0.26,1.1709,0.0,0.3568
Josh Naylor,2023,CLE,0.0969,1.263,0.0,0.3558
Max Muncy,2022,LAD,0.9467,-0.7072,0.0,0.3552
George Springer,2023,TOR,0.0949,0.4562,0.0,0.353
Joey Gallo,2022,- - -,1.6332,-2.9648,0.0,0.3489
Freddie Freeman,2024,LAD,0.2544,0.694,0.0,0.3467
Mookie Betts,2022,LAD,0.3138,1.0734,0.0,0.3443
Max Kepler,2022,MIN,0.0958,0.9525,0.0,0.3435
Rowdy Tellez,2023,MIL,0.3169,0.1046,0.0,0.3434
Ryan O'Hearn,2023,BAL,0.3428,0.1915,0.0,0.3415
William Contreras,2023,MIL,0.428,-0.1842,0.0,0.3406
Byron Buxton,2024,MIN,1.1215,-0.9612,0.0,0.3393
Carlos Santana,2022,- - -,0.4238,0.4377,0.0,0.3376
Nolan Gorman,2023,STL,1.2927,-1.6206,0.0,0.3363
Ryan McMahon,2024,COL,0.73,-1.129,0.0,0.3334
Ryan Mountcastle,2024,BAL,0.4002,-0.0756,0.0,0.3328
James Wood,2024,WSN,0.6126,-1.0051,0.0,0.3285
Kyle Tucker,2022,HOU,0.4633,0.7289,0.0,0.3283
Riley Greene,2022,DET,0.2555,-0.5472,0.0,0.3265
Tommy Pham,2022,- - -,0.4232,-0.5609,0.0,0.325
Francisco Lindor,2023,NYM,0.5061,0.3707,0.0,0.3248
Alejandro Kirk,2022,TOR,-0.094,1.5275,0.0,0.3238
Brandon Nimmo,2024,NYM,0.4272,-0.0576,0.0,0.3225
Joey Gallo,2023,MIN,1.9241,-3.198,0.0,0.3207
Francisco Alvarez,2023,NYM,0.8307,-0.7948,0.0,0.3146
Josh Bell,2023,- - -,0.3934,0.1164,0.0,0.3137
Fernando Tatis Jr.,2023,SDP,0.6722,-0.4759,0.0,0.3108
Andrew Vaughn,2024,CHW,0.4064,0.3916,0.0,0.31
Kyle Tucker,2024,HOU,0.6586,0.7551,0.0,0.3055
Elly De La Cruz,2024,CIN,1.0413,-1.4908,0.0,0.3032
Paul Goldschmidt,2024,STL,0.5601,-0.7985,0.0,0.3032
Matt Vierling,2022,PHI,-0.0465,0.5211,0.0,0.2993
J.T. Realmuto,2022,PHI,0.5446,-0.1147,0.0,0.2979
Mark Vientos,2024,NYM,1.1014,-1.45,0.0,0.2953
Trayce Thompson,2022,- - -,1.451,-2.2673,0.0,0.295
Brendan Rodgers,2022,COL,0.0658,0.4803,0.0,0.2929
Alec Bohm,2024,PHI,-0.1103,1.2134,0.0,0.2889
Bryan De La Cruz,2022,MIA,0.6787,-0.5589,0.0,0.2876
Victor Caratini,2022,MIL,-0.0403,0.343,0.0,0.2872
Adolis Garcia,2022,TEX,1.1009,-1.3619,0.0,0.2855
Gary Sanchez,2024,MIL,0.6673,-0.8624,0.0,0.283
Wyatt Langford,2024,TEX,0.3049,0.1635,0.0,0.2815
Kerry Carpenter,2024,DET,1.1924,-0.5757,0.0,0.2814
Hunter Renfroe,2022,MIL,0.703,-0.3394,0.0,0.2805
Salvador Perez,2022,KCR,0.8634,-0.6096,0.0,0.2804
Christian Walker,2023,ARI,0.4829,0.132,0.0,0.2797
Seiya Suzuki,2022,CHC,0.4834,-0.0906,0.0,0.2784
Rowdy Tellez,2024,PIT,0.3202,0.3669,0.0,0.2771
Bryan Reynolds,2023,PIT,0.5273,-0.0839,0.0,0.2761
Ke'Bryan Hayes,2022,PIT,-0.1874,0.4298,0.0,0.2714
Seth Brown,2022,OAK,0.858,-0.6619,0.0,0.2708
Daniel Vogelbach,2022,- - -,0.3837,0.117,0.0,0.2702
Willson Contreras,2024,STL,0.9261,-1.144,0.0,0.2693
Jurickson Profar,2024,SDP,0.0146,1.0332,0.0,0.2665
Will Smith,2022,LAD,0.3191,0.716,0.0,0.2613
Ezequiel Duran,2023,TEX,0.3662,-0.5659,0.0,0.2612
Freddie Freeman,2023,LAD,0.2909,0.7379,0.0,0.2603
Trevor Larnach,2024,MIN,0.6497,-0.1682,0.0,0.2592
Max Muncy,2023,LAD,0.9786,-0.7417,0.0,0.2585
Jorge Polanco,2023,MIN,0.6132,-0.1061,0.0,0.2568
Brent Rooker,2023,OAK,1.2526,-1.6954,0.0,0.2541
Corbin Carroll,2023,ARI,0.0814,0.5385,0.0,0.2483
DJ LeMahieu,2022,NYY,-0.372,1.4612,0.0,0.2473
Seth Brown,2023,OAK,0.7794,-0.6739,0.0,0.2447
Michael Harris II,2022,ATL,0.4298,-0.3553,0.0,0.2443
Jordan Westburg,2024,BAL,0.6804,-0.2715,0.0,0.2375
Eric Hosmer,2022,- - -,-0.266,1.2042,0.0,0.2354
Christian Arroyo,2022,BOS,-0.1389,0.9726,0.0,0.2346
Jesus Sanchez,2022,MIA,0.565,-0.6382,0.0,0.2336
Teoscar Hernandez,2023,SEA,0.9392,-1.4384,0.0,0.233
David Peralta,2022,- - -,0.3969,-0.1937,0.0,0.2324
MJ Melendez,2023,KCR,0.8782,-1.2908,0.0,0.2265
Taylor Ward,2023,LAA,0.1051,0.6745,0.0,0.2262
Ivan Herrera,2024,STL,0.1614,0.2015,0.0,0.2221
Jose Ramirez,2023,CLE,-0.1123,1.6658,0.0,0.2207
Luis Robert Jr.,2023,CHW,0.9824,-1.0179,0.0,0.2144
Corey Seager,2022,TEX,0.5739,0.4245,0.0,0.2144
Lars Nootbaar,2023,STL,-0.0298,0.6352,0.0,0.2139
Andrew Vaughn,2023,CHW,0.1266,0.3978,0.0,0.2109
Gleyber Torres,2022,NYY,0.5932,-0.4392,0.0,0.2097
Bobby Witt Jr.,2022,KCR,0.4034,-0.001,0.0,0.2088
Wander Franco,2022,TBR,-0.5215,1.8986,0.0,0.208
Yainer Diaz,2024,HOU,0.0243,0.5933,0.0,0.2065
Andy Pages,2024,LAD,0.4109,-0.2513,0.0,0.2047
Mike Yastrzemski,2022,SFG,0.4592,-0.2242,0.0,0.2036
Brandon Nimmo,2022,NYM,-0.0583,0.6797,0.0,0.2036
Patrick Wisdom,2022,CHC,1.1802,-2.1273,0.0,0.2035
Will Smith,2024,LAD,0.311,0.485,0.0,0.2031
Tyler Stephenson,2024,CIN,0.2009,0.1565,0.0,0.2017
Tommy Pham,2024,- - -,0.0996,-0.0807,0.0,0.2014
J.T. Realmuto,2024,PHI,0.2291,-0.1746,0.0,0.1988
Willy Adames,2022,MIL,0.7012,-0.7697,0.0,0.1979
Matt Vierling,2023,DET,-0.4338,0.617,0.0,0.1972
Shea Langeliers,2023,OAK,0.9152,-1.1523,0.0,0.196
Cal Raleigh,2023,SEA,0.7301,-0.8795,0.0,0.193
Nolan Arenado,2022,STL,0.1314,1.3365,0.0,0.1904
Eloy Jimenez,2023,CHW,0.353,0.157,0.0,0.1893
Trevor Story,2022,BOS,0.6607,-1.1932,0.0,0.1883
Adley Rutschman,2023,BAL,-0.2847,1.37,0.0,0.1877
Nelson Cruz,2022,WSN,0.5226,-0.7864,0.0,0.1852
Tyler O'Neill,2023,STL,0.455,-0.2588,0.0,0.1847
Josh Bell,2022,- - -,-0.045,0.6312,0.0,0.1838
Lourdes Gurriel Jr.,2023,ARI,-0.1479,1.0111,0.0,0.1834
Eugenio Suarez,2022,SEA,1.0486,-1.6195,0.0,0.1825
Carlos Santana,2024,MIN,0.1285,0.4145,0.0,0.1805
Brandon Drury,2023,LAA,0.4636,-0.5441,0.0,0.1801
Jonah Heim,2022,TEX,0.0453,0.4069,0.0,0.178
LaMonte Wade Jr.,2024,SFG,0.2908,0.0323,0.0,0.1768
Willy Adames,2024,MIL,0.6361,-0.6028,0.0,0.1767
Masataka Yoshida,2023,BOS,-0.2985,1.0844,0.0,0.1753
Alex Verdugo,2022,BOS,-0.2818,1.3803,0.0,0.1688
Gabriel Moreno,2024,ARI,-0.1632,0.9804,0.0,0.1677
Jack Suwinski,2022,PIT,0.6309,-1.1571,0.0,0.1676
Alex Bregman,2024,HOU,-0.3225,1.4784,0.0,0.1668
Rhys Hoskins,2024,MIL,0.541,-0.7703,0.0,0.1662
Christian Bethancourt,2022,- - -,0.7732,-1.0476,0.0,0.1636
Gleyber Torres,2023,NYY,0.0075,0.882,0.0,0.1587
Yainer Diaz,2023,HOU,0.4838,0.285,0.0,0.1579
Matt Vierling,2024,DET,-0.0302,0.4127,0.0,0.1577
Adley Rutschman,2022,BAL,-0.1159,0.8303,0.0,0.1558
Corbin Carroll,2024,ARI,-0.0546,0.544,0.0,0.154
Taylor Ward,2024,LAA,0.696,-0.4718,0.0,0.1535
Alec Burleson,2024,STL,-0.1609,1.1326,0.0,0.1519
Alec Bohm,2022,PHI,-0.0801,0.5733,0.0,0.1514
Luis Garcia Jr.,2024,WSN,-0.0673,0.8324,0.0,0.1479
Ji-Man Choi,2022,TBR,0.7847,-1.5262,0.0,0.1461
Max Kepler,2024,MIN,0.0594,0.331,0.0,0.1395
Masataka Yoshida,2024,BOS,-0.4497,1.547,0.0,0.1381
George Springer,2022,TOR,0.247,-0.0914,0.0,0.1379
A.J. Pollock,2022,CHW,0.1691,0.37,0.0,0.1378
Jake Cronenworth,2024,SDP,-0.1475,0.8508,0.0,0.1367
Brandon Marsh,2023,PHI,0.1946,-0.6569,0.0,0.1364
Brandon Marsh,2024,PHI,0.418,-0.9791,0.0,0.1349
Trent Grisham,2023,SDP,0.5363,-0.7421,0.0,0.1349
Luke Raley,2024,SEA,0.7498,-1.5093,0.0,0.1336
Evan Longoria,2022,SFG,0.7151,-1.1223,0.0,0.1334
Alex Verdugo,2023,BOS,-0.4537,1.3248,0.0,0.1323
Jarren Duran,2023,BOS,-0.2619,0.1217,0.0,0.1322
Josh Jung,2023,TEX,0.5508,-0.7719,0.0,0.132
Bryan Reynolds,2022,PIT,0.2666,-0.1657,0.0,0.1306
Lane Thomas,2023,WSN,0.0422,0.0416,0.0,0.1302
Jared Walsh,2022,LAA,0.3846,-1.1111,0.0,0.1278
Jose Abreu,2023,HOU,0.1081,0.0491,0.0,0.1268
LaMonte Wade Jr.,2023,SFG,0.0007,0.5402,0.0,0.126
Ryan McMahon,2023,COL,0.5683,-1.526,0.0,0.1239
Isaac Paredes,2022,TBR,-0.304,0.8695,0.0,0.1227
Tommy Edman,2022,STL,-0.1763,0.7356,0.0,0.1226
Maikel Garcia,2023,KCR,-0.4707,0.2764,0.0,0.1203
Jason Heyward,2023,LAD,-0.1163,0.7888,0.0,0.1199
Randy Arozarena,2022,TBR,0.2779,-0.6379,0.0,0.1197
Mike Yastrzemski,2023,SFG,0.1904,-0.2692,0.0,0.1149
DJ LeMahieu,2023,NYY,-0.3981,0.4467,0.0,0.1134
J.D. Martinez,2022,BOS,0.6487,-0.7551,0.0,0.1127
Kyle Isbel,2022,KCR,-0.2538,-0.1653,0.0,0.1104
Ramon Urias,2022,BAL,0.2199,-0.3907,0.0,0.1061
MJ Melendez,2022,KCR,0.4851,-0.6708,0.0,0.1039
Spencer Torkelson,2022,DET,0.2539,-0.3651,0.0,0.1029
Bryan Reynolds,2024,PIT,0.291,-0.3427,0.0,0.1006
Francisco Alvarez,2024,NYM,0.0377,-0.5348,0.0,0.1001
Ryan Noda,2023,OAK,0.8955,-2.1483,0.0,0.0992
Jackson Chourio,2024,MIL,0.0407,-0.0178,0.0,0.099
Luke Raley,2023,TBR,0.95,-1.6349,0.0,0.0976
Ian Happ,2022,CHC,0.0691,-0.3918,0.0,0.0961
Josh Naylor,2024,CLE,0.0707,0.5741,0.0,0.0953
J.T. Realmuto,2023,PHI,0.3372,-0.4179,0.0,0.0953
Joey Votto,2022,CIN,0.5276,-0.9232,0.0,0.0944
Logan O'Hoppe,2024,LAA,0.6797,-1.279,0.0,0.0939
Alex Bregman,2022,HOU,-0.1664,1.4655,0.0,0.093
Francisco Lindor,2022,NYM,0.0761,0.4074,0.0,0.0929
Will Smith,2023,LAD,-0.2355,0.7932,0.0,0.0924
Rob Refsnyder,2024,BOS,0.2458,-0.6553,0.0,0.0874
Eugenio Suarez,2024,ARI,0.4966,-0.763,0.0,0.0871
Oscar Gonzalez,2022,CLE,0.0057,0.1517,0.0,0.0849
Nathaniel Lowe,2023,TEX,-0.2977,0.3333,0.0,0.0839
Joey Ortiz,2024,MIL,-0.5294,0.7712,0.0,0.0834
Randal Grichuk,2022,COL,0.0134,-0.038,0.0,0.0813
Leody Taveras,2023,TEX,-0.0746,0.17,0.0,0.0764
Connor Joe,2023,PIT,-0.0439,-0.0068,0.0,0.0738
Lenyn Sosa,2024,CHW,-0.2874,0.4489,0.0,0.0723
Michael A. Taylor,2023,MIN,0.6824,-1.434,0.0,0.072
Ryan Jeffers,2024,MIN,0.0421,0.27,0.0,0.0712
Nathaniel Lowe,2024,TEX,-0.322,0.2793,0.0,0.0709
Brandon Lowe,2024,TBR,0.6589,-1.015,0.0,0.0708
Mookie Betts,2024,LAD,-0.2538,1.6542,0.0,0.0702
Trey Mancini,2022,- - -,0.3508,-0.3161,0.0,0.07
Jorge Polanco,2022,MIN,0.3507,-0.0275,0.0,0.0693
Josh Lowe,2023,TBR,0.3937,-0.5552,0.0,0.0671
Nolan Gorman,2022,STL,0.9115,-1.7569,0.0,0.067
Alec Burleson,2023,STL,-0.3794,1.3791,0.0,0.0656
Ian Happ,2023,CHC,0.1361,-0.0648,0.0,0.0654
Brendan Donovan,2023,STL,-0.5776,1.5106,0.0,0.0617
Kyle Higashioka,2023,NYY,0.2829,-0.6096,0.0,0.0578
Tommy Edman,2023,STL,-0.5452,1.2961,0.0,0.0576
Vinnie Pasquantino,2023,KCR,-0.2492,1.5868,0.0,0.0556
Avisail Garcia,2022,MIA,0.2025,-1.3037,0.0,0.0546
Royce Lewis,2024,MIN,0.3187,-0.1836,0.0,0.0541
Jonathan India,2024,CIN,-0.2589,0.516,0.0,0.0538
Mike Tauchman,2024,CHC,-0.1156,0.245,0.0,0.0513
Lane Thomas,2024,- - -,-0.0911,-0.2579,0.0,0.0513
Ty France,2023,SEA,-0.3194,0.8221,0.0,0.051
Xander Bogaerts,2022,BOS,-0.1352,0.1427,0.0,0.0498
Trea Turner,2022,LAD,0.0723,0.1488,0.0,0.0482
Nolan Jones,2024,COL,-0.3104,-0.8636,0.0,0.0443
Eugenio Suarez,2023,SEA,0.6586,-1.2998,0.0,0.0439
Edouard Julien,2023,MIN,0.3093,-1.2613,0.0,0.0413
Ozzie Albies,2023,ATL,-0.145,0.9785,0.0,0.0399
Harold Ramirez,2022,TBR,-0.2729,0.4774,0.0,0.0398
Jordan Walker,2023,STL,0.0652,-0.178,0.0,0.0362
Alex Verdugo,2024,NYY,-0.488,1.2815,0.0,0.0358
Tyler O'Neill,2022,STL,0.4703,-0.9273,0.0,0.035
Salvador Perez,2023,KCR,0.2325,-0.2634,0.0,0.0347
Lourdes Gurriel Jr.,2024,ARI,-0.2385,0.65,0.0,0.0319
Brian Anderson,2022,MIA,0.2555,-1.0063,0.0,0.0316
JJ Bleday,2024,OAK,0.1719,0.1593,0.0,0.0311
Brandon Lowe,2023,TBR,0.4684,-0.75,0.0,0.0291
Randal Grichuk,2023,- - -,-0.0704,0.2416,0.0,0.0269
Andy Ibanez,2023,DET,-0.0689,0.6998,0.0,0.0256
Enrique Hernandez,2024,LAD,-0.2009,0.1156,0.0,0.0239
Dylan Moore,2022,SEA,0.4899,-1.1104,0.0,0.0213
Randy Arozarena,2024,- - -,0.246,-0.946,0.0,0.0209
Michael Massey,2024,KCR,-0.1924,1.2326,0.0,0.0208
Adam Duvall,2022,ATL,0.6105,-1.3845,0.0,0.02
Ryan O'Hearn,2024,BAL,-0.264,1.2014,0.0,0.0197
